date,n_posts,fear_mean,anger_mean,sadness_mean,joy_mean,surprise_mean,disgust_mean,gratitude_mean,pride_mean,vader_mean
2025-09-16,2,0.00019195095,0.00039125266,4.006253e-05,7.819128e-05,0.060877226,0.00010591744,0.019116098,2.9291123e-05,0.1806
2025-09-17,4,0.00041212063,0.24921975,4.959531e-05,0.00013214818,0.13094649,2.534972e-05,0.21315047,3.4979294e-05,-0.058124997
2025-09-18,4,0.31735694,0.0013164144,0.001183866,0.00017505085,0.25348815,0.00018868086,0.0004476356,0.00015506212,0.1749
2025-09-19,7,0.34778503,0.14369139,0.0009058767,0.0004336154,0.17091325,0.00013898955,0.0019237669,0.00019370498,-0.15317143
2025-09-20,4,0.18973048,0.009056646,0.0002949834,0.00017568255,0.295347,0.00014058362,0.14971498,0.00010352576,0.25032502
2025-09-21,4,0.016061056,0.044520386,0.00059526565,0.0011208368,0.40900055,8.823558e-05,0.015494716,7.300143e-05,0.0
2025-09-22,3,0.32519734,0.23090716,0.00039822297,0.00012426388,0.09476691,0.00022676673,0.0028587978,8.978602e-05,0.11866667
2025-09-23,2,0.4739092,0.00030908684,0.0067234794,0.0002880247,0.0022956019,0.0001217335,0.00030962663,6.323473e-05,0.0326
2025-09-24,3,0.4059925,0.00067952456,0.0023328562,0.00094844756,0.5163904,0.00032146843,0.012373024,0.00017116561,-0.18973334
2025-09-25,2,4.3565142e-05,4.2153802e-05,2.9315688e-05,8.032133e-05,0.4996435,1.1655246e-05,0.48115683,4.2690757e-05,0.0
2025-09-26,7,0.15012684,0.03492938,0.00081108365,0.0032484576,0.07169775,0.00018571704,0.31129447,0.093968,0.17714286
2025-09-27,3,0.10180057,0.33171934,0.00030475305,6.198797e-05,0.2021662,0.0003479356,0.00020745413,8.119306e-05,0.0
2025-09-28,12,0.15468855,0.043965224,0.08904224,0.00036012568,0.0886487,0.0004639522,0.13061087,0.0001022149,-0.18280834
2025-09-29,39,0.21308483,0.05042266,0.08738063,0.0011518375,0.09375008,0.002742097,0.11042978,0.00010196444,-0.29498208
2025-09-30,33,0.21405111,0.118187346,0.05115843,0.00019484658,0.098869465,0.0012200612,0.031685226,9.320073e-05,-0.30293635
2025-10-01,8,0.13295722,0.12304385,0.0004761158,0.00014065893,0.12123222,0.00012453618,0.12703718,8.039927e-05,-0.0668125
2025-10-02,15,0.27312538,0.006460848,0.00032692033,0.0010589111,0.117462866,0.06671535,0.10685509,0.00030134368,-0.07507334
2025-10-03,14,0.19585414,0.009361801,0.0017668525,0.00014115674,0.0010378851,0.0716121,0.18028092,9.566401e-05,-0.2211143
2025-10-04,12,0.08702945,0.0018779197,0.14914306,0.0007717795,0.1679826,0.00045534867,0.15955405,0.00033429844,0.018208334
2025-10-05,14,0.09144102,0.083729915,0.05370025,0.011285297,0.09081835,0.074221365,0.13637935,0.0741295,-0.29774287
2025-10-06,12,0.121948324,0.2036283,0.005596626,0.0005258687,0.13628788,0.00045414982,0.14491414,0.0006235027,-0.08925
2025-10-07,1,9.410013e-06,1.0956856e-05,7.1828836e-05,0.9993783,9.445522e-05,1.1159224e-05,2.5130536e-05,5.2640735e-05,-0.5023
2025-10-08,11,0.07257829,0.0084793605,0.00018477353,0.005738259,0.03550564,7.795579e-05,0.1820848,0.08101619,0.10583637
2025-10-09,9,0.111534506,0.006924523,0.10777596,0.0035408111,0.0069401106,8.783462e-05,0.45912033,0.0002593562,-0.073711105
2025-10-10,11,0.20675124,0.06272623,0.0014392477,0.092884906,0.01720651,0.00012446266,0.0035046677,0.00052271975,-0.026745452
2025-10-11,11,0.00036461127,3.4149896e-05,1.9059284e-05,0.09171302,0.000118501484,1.1645027e-05,0.27231908,0.00010649626,0.042463638
2025-10-12,8,0.09532251,0.018762706,0.0012464416,0.12538221,0.0047347173,6.6936525e-05,0.36250615,0.00019036491,0.058262497
2025-10-13,9,0.09233596,0.000881616,0.0008568934,0.06788947,0.05017633,0.0001153447,0.26824507,0.00019880386,0.005888886
